# Configuration:
#   Braille Code: Nemeth
#   Generate Braille: False
#   Model: gemini-3-pro-preview
#   API Key: GEMINI_PAID_API_KEY
#   Batch Size: 80
#   Number of Examples: 0
#   Example Braille File: RustTestData/Nemeth.brls
#   Example MathML File: RustTestData/Nemeth.mmls
#   Input Braille Dir: test_data/Nemeth
#   Input MathML Dir: test_data/MathML
#   Instructions (preview): You are an expert braille translator specializing in Nemeth braille. The user will provide a python list of strings, where each string is composed of Unicode Nemeth braille characters.  Here are two e...
#
# 200 items. Usage info: prompt=8485, candidates=11263, total=106540, time=97766ms, TPS=8680.280564680814.2f
#

# NOT Normalized MathML
# Match | Test Input | Expected | Computed
✓ | ⠋⠷⠞⠾⠀⠨⠅⠀⠁⠃⠘⠞ | <math><mrow><mi>f</mi><mo stretchy="false">(</mo><mi>t</mi><mo stretchy="false">)</mo><mo>=</mo><mi>a</mi><msup><mi>b</mi><mi>t</mi></msup></mrow></math> | <math><mi>f</mi><mo stretchy="false">(</mo><mi>t</mi><mo stretchy="false">)</mo><mo>=</mo><mi>a</mi><msup><mi>b</mi><mi>t</mi></msup></math>
✗ | ⠰⠟⠠ | <math><mrow><mi>q</mi><mtext>,</mtext></mrow></math> | <math><mi>&psi;</mi></math>
✗ | ⠰⠏⠸⠲ | <math><mrow><mi>p</mi><mtext>.</mtext></mrow></math> | <math><mi>&pi;</mi><mo>.</mo></math>
✓ | ⠋⠷⠭⠾ | <math><mrow><mi>f</mi><mo stretchy="false">(</mo><mi>x</mi><mo stretchy="false">)</mo></mrow></math> | <math><mi>f</mi><mo stretchy="false">(</mo><mi>x</mi><mo stretchy="false">)</mo></math>
✗ | ⠰⠛⠸⠲ | <math><mrow><mi>g</mi><mtext>.</mtext></mrow></math> | <math><mi>&gamma;</mi><mo>.</mo></math>
✓ | ⠓⠷⠭⠾⠀⠨⠅⠀⠋⠷⠭⠾⠬⠛⠷⠭⠾⠸⠲ | <math><mrow><mi>h</mi><mo stretchy="false">(</mo><mi>x</mi><mo stretchy="false">)</mo><mo>=</mo><mi>f</mi><mo stretchy="false">(</mo><mi>x</mi><mo stretchy="false">)</mo><mo>+</mo><mi>g</mi><mo stretchy="false">(</mo><mi>x</mi><mo stretchy="false">)</mo><mtext>.</mtext></mrow></math> | <math><mi>h</mi><mo stretchy="false">(</mo><mi>x</mi><mo stretchy="false">)</mo><mo>=</mo><mi>f</mi><mo stretchy="false">(</mo><mi>x</mi><mo stretchy="false">)</mo><mo>+</mo><mi>g</mi><mo stretchy="false">(</mo><mi>x</mi><mo stretchy="false">)</mo><mo>.</mo></math>
✓ | ⠗⠷⠭⠾⠀⠨⠅⠀⠏⠷⠭⠾⠤⠟⠷⠭⠾⠸⠲ | <math><mrow><mi>r</mi><mo stretchy="false">(</mo><mi>x</mi><mo stretchy="false">)</mo><mo>=</mo><mi>p</mi><mo stretchy="false">(</mo><mi>x</mi><mo stretchy="false">)</mo><mo>−</mo><mi>q</mi><mo stretchy="false">(</mo><mi>x</mi><mo stretchy="false">)</mo><mtext>.</mtext></mrow></math> | <math><mi>r</mi><mo stretchy="false">(</mo><mi>x</mi><mo stretchy="false">)</mo><mo>=</mo><mi>p</mi><mo stretchy="false">(</mo><mi>x</mi><mo stretchy="false">)</mo><mo>-</mo><mi>q</mi><mo stretchy="false">(</mo><mi>x</mi><mo stretchy="false">)</mo><mo>.</mo></math>
✗ | ⠗⠷⠭⠾⠀⠨⠅⠀⠼⠴⠀⠿ | <math><mrow><mi>r</mi><mo stretchy="false">(</mo><mi>x</mi><mo stretchy="false">)</mo><mo>=</mo><mn>0</mn><mtext>?</mtext></mrow></math> | <math><mi>r</mi><mo stretchy="false">(</mo><mi>x</mi><mo stretchy="false">)</mo><mo>=</mo><mn>0</mn></math>
✓ | ⠅⠷⠴⠾⠸⠲ | <math><mrow><mi>k</mi><mo stretchy="false">(</mo><mn>0</mn><mo stretchy="false">)</mo><mtext>.</mtext></mrow></math> | <math><mi>k</mi><mo stretchy="false">(</mo><mn>0</mn><mo stretchy="false">)</mo><mo>.</mo></math>
✓ | ⠎⠷⠂⠾ | <math><mrow><mi>s</mi><mo stretchy="false">(</mo><mn>1</mn><mo stretchy="false">)</mo></mrow></math> | <math><mi>s</mi><mo stretchy="false">(</mo><mn>1</mn><mo stretchy="false">)</mo></math>
✓ | ⠎⠷⠭⠾ | <math><mrow><mi>s</mi><mo stretchy="false">(</mo><mi>x</mi><mo stretchy="false">)</mo></mrow></math> | <math><mi>s</mi><mo stretchy="false">(</mo><mi>x</mi><mo stretchy="false">)</mo></math>
✗ | ⠼⠒⠭⠤⠲⠽⠀⠨⠅⠀⠼⠶⠀⠿ | <math><mrow><mn>3</mn><mi>x</mi><mo>−</mo><mn>4</mn><mi>y</mi><mo>=</mo><mn>7</mn><mtext>?</mtext></mrow></math> | <math><mn>3</mn><mi>x</mi><mo>-</mo><mn>4</mn><mi>y</mi><mo>=</mo><mn>6</mn></math>
✗ | ⠭⠀⠨⠅⠀⠤⠼⠆⠀⠿ | <math><mrow><mi>x</mi><mo>=</mo><mo>−</mo><mn>2</mn><mtext>?</mtext></mrow></math> | <math><mi>x</mi><mo>=</mo><mo>-</mo><mn>2</mn></math>
✓ | ⠟⠷⠭⠾⠀⠨⠅⠀⠤⠼⠒⠭⠘⠆⠐⠬⠢⠭⠤⠶ | <math><mrow><mi>q</mi><mo stretchy="false">(</mo><mi>x</mi><mo stretchy="false">)</mo><mo>=</mo><mo>−</mo><mn>3</mn><msup><mi>x</mi><mn>2</mn></msup><mo>+</mo><mn>5</mn><mi>x</mi><mo>−</mo><mn>7</mn></mrow></math> | <math><mi>q</mi><mo stretchy="false">(</mo><mi>x</mi><mo stretchy="false">)</mo><mo>=</mo><mo>-</mo><mn>3</mn><msup><mi>x</mi><mn>2</mn></msup><mo>+</mo><mn>5</mn><mi>x</mi><mo>-</mo><mn>7</mn></math>
✓ | ⠎⠷⠭⠾⠀⠨⠅⠀⠼⠢⠭ | <math><mrow><mi>s</mi><mo stretchy="false">(</mo><mi>x</mi><mo stretchy="false">)</mo><mo>=</mo><mn>5</mn><mi>x</mi></mrow></math> | <math><mi>s</mi><mo stretchy="false">(</mo><mi>x</mi><mo stretchy="false">)</mo><mo>=</mo><mn>5</mn><mi>x</mi></math>
✗ | ⠍⠀⠨⠅⠀⠼⠢⠠ | <math><mrow><mi>m</mi><mo>=</mo><mn>5</mn><mtext>,</mtext></mrow></math> | <math><mi>m</mi><mo>=</mo><mn>5</mn></math>
✗ | ⠰⠉⠠ | <math><mrow><mi>c</mi><mtext>,</mtext></mrow></math> | <math><mi>&chi;</mi></math>
✗ | ⠰⠺ | <math><mi>w</mi></math> | <math><mi>&omega;</mi></math>
✓ | ⠋⠷⠭⠾⠀⠨⠅⠀⠼⠒⠭⠘⠆⠐⠬⠲ | <math><mrow><mi>f</mi><mo stretchy="false">(</mo><mi>x</mi><mo stretchy="false">)</mo><mo>=</mo><mn>3</mn><msup><mi>x</mi><mn>2</mn></msup><mo>+</mo><mn>4</mn></mrow></math> | <math><mi>f</mi><mo stretchy="false">(</mo><mi>x</mi><mo stretchy="false">)</mo><mo>=</mo><mn>3</mn><msup><mi>x</mi><mn>2</mn></msup><mo>+</mo><mn>4</mn></math>
✓ | ⠋⠬⠛ | <math><mrow><mi>f</mi><mo>+</mo><mi>g</mi></mrow></math> | <math><mi>f</mi><mo>+</mo><mi>g</mi></math>
✓ | ⠋⠤⠛ | <math><mrow><mi>f</mi><mo>−</mo><mi>g</mi></mrow></math> | <math><mi>f</mi><mo>-</mo><mi>g</mi></math>
✓ | ⠋⠡⠛ | <math><mrow><mi>f</mi><mo>⋅</mo><mi>g</mi></mrow></math> | <math><mi>f</mi><mo>&sdot;</mo><mi>g</mi></math>
✓ | ⠹⠋⠌⠛⠼ | <math><mfrac><mi>f</mi><mi>g</mi></mfrac></math> | <math><mfrac><mi>f</mi><mi>g</mi></mfrac></math>
✓ | ⠛⠷⠭⠾⠀⠌⠨⠅⠀⠼⠴⠸⠲ | <math><mrow><mi>g</mi><mo stretchy="false">(</mo><mi>x</mi><mo stretchy="false">)</mo><mo>≠</mo><mn>0</mn><mtext>.</mtext></mrow></math> | <math><mi>g</mi><mo stretchy="false">(</mo><mi>x</mi><mo stretchy="false">)</mo><mo>&ne;</mo><mn>0</mn><mo>.</mo></math>
✓ | ⠷⠒⠠⠀⠤⠴⠨⠢⠾ | <math><mrow><mo stretchy="false">(</mo><mn>3</mn><mo>,</mo><mo>−</mo><mn>0.5</mn><mo stretchy="false">)</mo></mrow></math> | <math><mo stretchy="false">(</mo><mn>3</mn><mo>,</mo><mo>-</mo><mn>0.5</mn><mo stretchy="false">)</mo></math>
✓ | ⠷⠤⠂⠠⠀⠒⠾ | <math><mrow><mo stretchy="false">(</mo><mo>−</mo><mn>1</mn><mo>,</mo><mn>3</mn><mo stretchy="false">)</mo></mrow></math> | <math><mo stretchy="false">(</mo><mo>-</mo><mn>1</mn><mo>,</mo><mn>3</mn><mo stretchy="false">)</mo></math>
✓ | ⠷⠋⠬⠛⠾⠷⠴⠾⠸⠲ | <math><mrow><mo stretchy="false">(</mo><mi>f</mi><mo>+</mo><mi>g</mi><mo stretchy="false">)</mo><mo stretchy="false">(</mo><mn>0</mn><mo stretchy="false">)</mo><mtext>.</mtext></mrow></math> | <math><mo stretchy="false">(</mo><mi>f</mi><mo>+</mo><mi>g</mi><mo stretchy="false">)</mo><mo stretchy="false">(</mo><mn>0</mn><mo stretchy="false">)</mo><mo>.</mo></math>
✓ | ⠷⠋⠡⠛⠾⠷⠤⠂⠾⠸⠲ | <math><mrow><mo stretchy="false">(</mo><mi>f</mi><mo>⋅</mo><mi>g</mi><mo stretchy="false">)</mo><mo stretchy="false">(</mo><mo>−</mo><mn>1</mn><mo stretchy="false">)</mo><mtext>.</mtext></mrow></math> | <math><mo stretchy="false">(</mo><mi>f</mi><mo>&sdot;</mo><mi>g</mi><mo stretchy="false">)</mo><mo stretchy="false">(</mo><mo>-</mo><mn>1</mn><mo stretchy="false">)</mo><mo>.</mo></math>
✗ | ⠷⠋⠡⠛⠾⠷⠭⠾⠀⠨⠅⠀⠼⠴⠀⠿ | <math><mrow><mo stretchy="false">(</mo><mi>f</mi><mo>⋅</mo><mi>g</mi><mo stretchy="false">)</mo><mo stretchy="false">(</mo><mi>x</mi><mo stretchy="false">)</mo><mo>=</mo><mn>0</mn><mtext>?</mtext></mrow></math> | <math><mo stretchy="false">(</mo><mi>f</mi><mo>&sdot;</mo><mi>g</mi><mo stretchy="false">)</mo><mo stretchy="false">(</mo><mi>x</mi><mo stretchy="false">)</mo><mo>=</mo><mn>0</mn></math>
✓ | ⠠⠏⠷⠞⠾ | <math><mrow><mi>P</mi><mo stretchy="false">(</mo><mi>t</mi><mo stretchy="false">)</mo></mrow></math> | <math><mi>P</mi><mo stretchy="false">(</mo><mi>t</mi><mo stretchy="false">)</mo></math>
✗ | ⠠⠁⠠⠧⠰⠈⠷⠢⠪⠂⠂⠈⠾⠠ | <math><mrow><mi>A</mi><msub><mi>V</mi><mrow data-mjx-texclass="ORD"><mo stretchy="false">[</mo><mn>5</mn><mo>,</mo><mn>11</mn><mo stretchy="false">]</mo></mrow></msub><mtext>,</mtext></mrow></math> | <math><mi>A</mi><mi>v</mi><mi>g</mi><mo stretchy="false">(</mo><mn>5</mn><mo>,</mo><mn>11</mn><mo stretchy="false">)</mo></math>
✓ | ⠼⠂⠂⠸⠲ | <math><mrow><mn>11</mn><mtext>.</mtext></mrow></math> | <math><mn>11</mn><mo>.</mo></math>
✗ | ⠰⠞⠠ | <math><mrow><mi>t</mi><mtext>,</mtext></mrow></math> | <math><mi>&tau;</mi></math>
✓ | ⠠⠎⠷⠞⠾ | <math><mrow><mi>S</mi><mo stretchy="false">(</mo><mi>t</mi><mo stretchy="false">)</mo></mrow></math> | <math><mi>S</mi><mo stretchy="false">(</mo><mi>t</mi><mo stretchy="false">)</mo></math>
✗ | ⠠⠧⠷⠞⠾⠠ | <math><mrow><mi>V</mi><mo stretchy="false">(</mo><mi>t</mi><mo stretchy="false">)</mo><mtext>,</mtext></mrow></math> | <math><mi>V</mi><mo stretchy="false">(</mo><mi>t</mi><mo stretchy="false">)</mo></math>
✓ | ⠠⠧⠷⠞⠾⠀⠨⠅⠀⠠⠝⠷⠞⠾⠡⠠⠎⠷⠞⠾⠸⠲ | <math><mrow><mi>V</mi><mo stretchy="false">(</mo><mi>t</mi><mo stretchy="false">)</mo><mo>=</mo><mi>N</mi><mo stretchy="false">(</mo><mi>t</mi><mo stretchy="false">)</mo><mo>⋅</mo><mi>S</mi><mo stretchy="false">(</mo><mi>t</mi><mo stretchy="false">)</mo><mtext>.</mtext></mrow></math> | <math><mi>V</mi><mo stretchy="false">(</mo><mi>t</mi><mo stretchy="false">)</mo><mo>=</mo><mi>N</mi><mo stretchy="false">(</mo><mi>t</mi><mo stretchy="false">)</mo><mo>&sdot;</mo><mi>S</mi><mo stretchy="false">(</mo><mi>t</mi><mo stretchy="false">)</mo><mo>.</mo></math>
✓ | ⠋⠷⠧⠾ | <math><mrow><mi>f</mi><mo stretchy="false">(</mo><mi>v</mi><mo stretchy="false">)</mo></mrow></math> | <math><mi>f</mi><mo stretchy="false">(</mo><mi>v</mi><mo stretchy="false">)</mo></math>
✓ | ⠋⠷⠖⠴⠾⠀⠨⠅⠀⠼⠴⠨⠴⠲ | <math><mrow><mi>f</mi><mo stretchy="false">(</mo><mn>60</mn><mo stretchy="false">)</mo><mo>=</mo><mn>0.04</mn></mrow></math> | <math><mi>f</mi><mo stretchy="false">(</mo><mn>60</mn><mo stretchy="false">)</mo><mo>=</mo><mn>0.04</mn></math>
✗ | ⠛⠷⠖⠴⠾⠀⠿ | <math><mrow><mi>g</mi><mo stretchy="false">(</mo><mn>60</mn><mo stretchy="false">)</mo><mtext>?</mtext></mrow></math> | <math><mi>g</mi><mo stretchy="false">(</mo><mn>60</mn><mo stretchy="false">)</mo></math>
✓ | ⠓⠷⠧⠾⠀⠨⠅⠀⠧⠡⠋⠷⠧⠾⠸⠲ | <math><mrow><mi>h</mi><mo stretchy="false">(</mo><mi>v</mi><mo stretchy="false">)</mo><mo>=</mo><mi>v</mi><mo>⋅</mo><mi>f</mi><mo stretchy="false">(</mo><mi>v</mi><mo stretchy="false">)</mo><mtext>.</mtext></mrow></math> | <math><mi>h</mi><mo stretchy="false">(</mo><mi>v</mi><mo stretchy="false">)</mo><mo>=</mo><mi>v</mi><mo>&sdot;</mo><mi>f</mi><mo stretchy="false">(</mo><mi>v</mi><mo stretchy="false">)</mo><mo>.</mo></math>
✗ | ⠰⠓⠀⠿ | <math><mrow><mi>h</mi><mtext>?</mtext></mrow></math> | <math><mi>&eta;</mi></math>
✗ | ⠋⠷⠖⠴⠾⠠ | <math><mrow><mi>f</mi><mo stretchy="false">(</mo><mn>60</mn><mo stretchy="false">)</mo><mtext>,</mtext></mrow></math> | <math><mi>f</mi><mo stretchy="false">(</mo><mn>60</mn><mo stretchy="false">)</mo></math>
✓ | ⠓⠷⠖⠴⠾ | <math><mrow><mi>h</mi><mo stretchy="false">(</mo><mn>60</mn><mo stretchy="false">)</mo></mrow></math> | <math><mi>h</mi><mo stretchy="false">(</mo><mn>60</mn><mo stretchy="false">)</mo></math>
✗ | ⠈⠷⠖⠴⠠⠀⠶⠴⠈⠾⠸⠲ | <math><mrow><mo stretchy="false">[</mo><mn>60</mn><mo>,</mo><mn>70</mn><mo stretchy="false">]</mo><mtext>.</mtext></mrow></math> | <math><mo stretchy="false">(</mo><mn>60</mn><mo>,</mo><mn>70</mn><mo stretchy="false">)</mo><mo>.</mo></math>
✓ | ⠠⠁⠷⠭⠾⠀⠨⠅⠀⠳⠭⠳⠸⠲ | <math><mrow><mi>A</mi><mo stretchy="false">(</mo><mi>x</mi><mo stretchy="false">)</mo><mo>=</mo><mo stretchy="false">|</mo><mi>x</mi><mo stretchy="false">|</mo><mtext>.</mtext></mrow></math> | <math><mi>A</mi><mo stretchy="false">(</mo><mi>x</mi><mo stretchy="false">)</mo><mo>=</mo><mo>|</mo><mi>x</mi><mo>|</mo><mo>.</mo></math>
✗ | ⠳⠭⠳⠀⠨⠅⠀⠭⠠ | <math><mrow><mo stretchy="false">|</mo><mi>x</mi><mo stretchy="false">|</mo><mo>=</mo><mi>x</mi><mtext>,</mtext></mrow></math> | <math><mo>|</mo><mi>x</mi><mo>|</mo><mo>=</mo><mi>x</mi></math>
✓ | ⠳⠭⠳⠀⠨⠅⠀⠤⠭⠸⠲ | <math><mrow><mo stretchy="false">|</mo><mi>x</mi><mo stretchy="false">|</mo><mo>=</mo><mo>−</mo><mi>x</mi><mtext>.</mtext></mrow></math> | <math><mo>|</mo><mi>x</mi><mo>|</mo><mo>=</mo><mo>-</mo><mi>x</mi><mo>.</mo></math>
✗ | ⠠⠁⠷⠭⠾⠀⠨⠅⠀⠨⠷⠤⠭⠠⠀⠭⠀⠐⠅⠀⠼⠴⠀⣍⠭⠠⠀⠭⠀⠨⠂⠱⠀⠼⠴⠀⠐⠅⠍⠕⠀⠙⠁⠞⠁⠤⠍⠚⠭⠤⠞⠑⠭⠉⠇⠁⠎⠎⠨⠅⠄⠄⠠⠉⠠⠇⠠⠕⠠⠎⠠⠑⠄⠄⠀⠋⠑⠝⠉⠑⠨⠅⠄⠄⠞⠗⠥⠑⠄⠄⠀⠎⠞⠗⠑⠞⠉⠓⠽⠨⠅⠄⠄⠞⠗⠥⠑⠄⠄⠀⠎⠽⠍⠍⠑⠞⠗⠊⠉⠨⠅⠄⠄⠞⠗⠥⠑⠄⠄⠸⠌⠨⠂ | <math><mrow><mi>A</mi><mo stretchy="false">(</mo><mi>x</mi><mo stretchy="false">)</mo><mo>=</mo><mrow data-mjx-texclass="INNER"><mo data-mjx-texclass="OPEN">{</mo><mtable columnalign="left left" columnspacing="1em" rowspacing=".2em"><mtr><mtd><mrow><mo>−</mo><mi>x</mi><mo>,</mo></mrow></mtd><mtd><mrow><mi>x</mi><mo>&lt;</mo><mn>0</mn></mrow></mtd></mtr><mtr><mtd><mrow><mi>x</mi><mo>,</mo></mrow></mtd><mtd><mrow><mi>x</mi><mo>≥</mo><mn>0</mn></mrow></mtd></mtr></mtable><mo data-mjx-texclass="CLOSE" fence="true" stretchy="true" symmetric="true">&lt;mo data-mjx-texclass="CLOSE" fence="true" stretchy="true" symmetric="true"/&gt;</mo></mrow></mrow></math> | <math><mi>A</mi><mo stretchy="false">(</mo><mi>x</mi><mo stretchy="false">)</mo><mo>=</mo><mrow><mo>{</mo><mtable columnalign="left left"><mtr><mtd><mo>-</mo><mi>x</mi></mtd><mtd><mi>x</mi><mo>&lt;</mo><mn>0</mn></mtd></mtr><mtr><mtd><mi>x</mi></mtd><mtd><mi>x</mi><mo>&ge;</mo><mn>0</mn></mtd></mtr></mtable></mrow></math>
✓ | ⠽⠀⠨⠅⠀⠤⠭ | <math><mrow><mi>y</mi><mo>=</mo><mo>−</mo><mi>x</mi></mrow></math> | <math><mi>y</mi><mo>=</mo><mo>-</mo><mi>x</mi></math>
✗ | ⠏⠷⠭⠾⠀⠨⠅⠀⠨⠷⠤⠷⠭⠬⠆⠾⠘⠆⠐⠬⠆⠠⠀⠭⠀⠐⠅⠀⠼⠴⠀⣍⠹⠂⠌⠆⠼⠷⠭⠤⠆⠾⠘⠆⠐⠬⠂⠠⠀⠭⠀⠨⠂⠱⠀⠼⠴⠀⠐⠅⠍⠕⠀⠙⠁⠞⠁⠤⠍⠚⠭⠤⠞⠑⠭⠉⠇⠁⠎⠎⠨⠅⠄⠄⠠⠉⠠⠇⠠⠕⠠⠎⠠⠑⠄⠄⠀⠋⠑⠝⠉⠑⠨⠅⠄⠄⠞⠗⠥⠑⠄⠄⠀⠎⠞⠗⠑⠞⠉⠓⠽⠨⠅⠄⠄⠞⠗⠥⠑⠄⠄⠀⠎⠽⠍⠍⠑⠞⠗⠊⠉⠨⠅⠄⠄⠞⠗⠥⠑⠄⠄⠸⠌⠨⠂ | <math><mrow><mi>p</mi><mo stretchy="false">(</mo><mi>x</mi><mo stretchy="false">)</mo><mo>=</mo><mrow data-mjx-texclass="INNER"><mo data-mjx-texclass="OPEN">{</mo><mtable columnalign="left left" columnspacing="1em" rowspacing=".2em"><mtr><mtd><mrow><mo>−</mo><mo stretchy="false">(</mo><mi>x</mi><mo>+</mo><mn>2</mn><msup><mo stretchy="false">)</mo><mn>2</mn></msup><mo>+</mo><mn>2</mn><mo>,</mo></mrow></mtd><mtd><mrow><mi>x</mi><mo>&lt;</mo><mn>0</mn></mrow></mtd></mtr><mtr><mtd><mrow><mfrac><mn>1</mn><mn>2</mn></mfrac><mo stretchy="false">(</mo><mi>x</mi><mo>−</mo><mn>2</mn><msup><mo stretchy="false">)</mo><mn>2</mn></msup><mo>+</mo><mn>1</mn><mo>,</mo></mrow></mtd><mtd><mrow><mi>x</mi><mo>≥</mo><mn>0</mn></mrow></mtd></mtr></mtable><mo data-mjx-texclass="CLOSE" fence="true" stretchy="true" symmetric="true">&lt;mo data-mjx-texclass="CLOSE" fence="true" stretchy="true" symmetric="true"/&gt;</mo></mrow></mrow></math> | <math><mi>P</mi><mo stretchy="false">(</mo><mi>x</mi><mo stretchy="false">)</mo><mo>=</mo><mrow><mo>{</mo><mtable columnalign="left left"><mtr><mtd><mo>-</mo><msup><mrow><mo stretchy="false">(</mo><mi>x</mi><mo>+</mo><mn>2</mn><mo stretchy="false">)</mo></mrow><mn>2</mn></msup><mo>+</mo><mn>2</mn></mtd><mtd><mi>x</mi><mo>&lt;</mo><mn>0</mn></mtd></mtr><mtr><mtd><mfrac><mn>1</mn><mn>2</mn></mfrac><msup><mrow><mo stretchy="false">(</mo><mi>x</mi><mo>-</mo><mn>2</mn><mo stretchy="false">)</mo></mrow><mn>2</mn></msup><mo>+</mo><mn>1</mn></mtd><mtd><mi>x</mi><mo>&ge;</mo><mn>0</mn></mtd></mtr></mtable></mrow></math>
✗ | ⠏⠷⠤⠆⠾⠠ | <math><mrow><mi>p</mi><mo stretchy="false">(</mo><mo>−</mo><mn>2</mn><mo stretchy="false">)</mo><mtext>,</mtext></mrow></math> | <math><mi>P</mi><mo stretchy="false">(</mo><mo>-</mo><mn>2</mn><mo stretchy="false">)</mo></math>
✗ | ⠏⠷⠆⠾⠠ | <math><mrow><mi>p</mi><mo stretchy="false">(</mo><mn>2</mn><mo stretchy="false">)</mo><mtext>,</mtext></mrow></math> | <math><mi>P</mi><mo stretchy="false">(</mo><mn>2</mn><mo stretchy="false">)</mo></math>
✗ | ⠭⠀⠐⠅⠀⠼⠴⠀⠿ | <math><mrow><mi>x</mi><mo>&lt;</mo><mn>0</mn><mtext>?</mtext></mrow></math> | <math><mi>x</mi><mo>&lt;</mo><mn>0</mn></math>
✗ | ⠏⠷⠭⠾⠀⠨⠅⠀⠼⠴⠀⠿ | <math><mrow><mi>p</mi><mo stretchy="false">(</mo><mi>x</mi><mo stretchy="false">)</mo><mo>=</mo><mn>0</mn><mtext>?</mtext></mrow></math> | <math><mi>P</mi><mo stretchy="false">(</mo><mi>x</mi><mo stretchy="false">)</mo><mo>=</mo><mn>0</mn></math>
✗ | ⠰⠏⠀⠿ | <math><mrow><mi>p</mi><mtext>?</mtext></mrow></math> | <math><mi>&pi;</mi></math>
