id,source_file,line_number,nemeth_braille,nemeth_length,ground_truth_mathml,predicted_mathml,ground_truth_length,model_name,timestamp,prompt_tokens,completion_tokens,total_tokens,reasoning_tokens,reasoning_effort,response_time_seconds,few_shot_example_indices,error
11,Statistics-no-dups.brls,1289,⠹⠒⠴⠌⠂⠂⠦⠼⠐⠅⠍⠞⠑⠭⠞⠸⠌⠨⠂,19,<math><mrow><mfrac><mn>30</mn><mn>118</mn></mfrac><mtext>&lt;mtext/&gt;</mtext></mrow></math>,"<math xmlns=""http://www.w3.org/1998/Math/MathML"">
  <mrow>
    <mfrac>
      <mn>30</mn>
      <mn>118</mn>
    </mfrac>
    <mi>Kmrext</mi>
    <mo>÷</mo>
    <mn>1</mn>
  </mrow>
</math>",93,o3-mini-2025-01-31,2026-01-03T22:32:50.717612+00:00,1299,3615,4914,,low,19.8,"[""Intermediate Algebra 2e-no-dups.brls:1340"", ""Contemporary Mathematics-no-dups.brls:4718"", ""College Algebra 2e with Corequisite Support-no-dups.brls:2334"", ""PreAlgebra 2e-no-dups.brls:10241"", ""College Algebra 2e with Corequisite Support-no-dups.brls:1749"", ""PreAlgebra 2e-no-dups.brls:7524"", ""Elementary Algebra 2e-no-dups.brls:3081"", ""PreCalculus 2e-no-dups.brls:13928"", ""PreAlgebra 2e-no-dups.brls:9940"", ""Elementary Algebra 2e-no-dups.brls:6673""]",
12,Elementary Algebra 2e-no-dups.brls,350,⠷⠂⠴⠴⠾⠘⠤⠹⠂⠌⠆⠼,12,<math><msup><mrow><mo>(</mo><mn>100</mn><mo>)</mo></mrow><mrow><mo>−</mo><mfrac><mn>1</mn><mn>2</mn></mfrac></mrow></msup></math>,"<math xmlns=""http://www.w3.org/1998/Math/MathML""><msup><mrow><mo>(</mo><mn>100</mn><mo>)</mo></mrow><mrow><mo>−</mo><mfrac><mn>1</mn><mn>2</mn></mfrac></mrow></msup></math>",129,o3-mini-2025-01-31,2026-01-03T22:32:46.009948+00:00,1288,2332,3620,,low,15.09,"[""Elementary Algebra-no-dups.brls:4929"", ""Elementary Algebra 2e-no-dups.brls:6531"", ""Trigonometry-no-dups.brls:6848"", ""Modeling, Functions, and Graphs-no-dups.brls:14734"", ""PreAlgebra 2e-no-dups.brls:3535"", ""College Algebra 2e with Corequisite Support-no-dups.brls:1533"", ""PreCalculus 2e-no-dups.brls:7849"", ""PreCalculus 2e-no-dups.brls:4575"", ""Algebra and Trigonometry 2e-no-dups.brls:8441"", ""Active Prelude to Calculus-no-dups.brls:3256""]",
13,Algebra and Trigonometry 2e-no-dups.brls,7669,⠬⠤⠹⠂⠌⠆⠼⠸⠲,9,<math><mrow><mo>±</mo><mfrac><mn>1</mn><mn>2</mn></mfrac><mo>.</mo></mrow></math>,"<math xmlns=""http://www.w3.org/1998/Math/MathML"">
  <mrow>
    <mo>−</mo>
    <mfrac>
      <mi>θ</mi>
      <mn>2</mn>
    </mfrac>
    <mo>=</mo>
    <mn>52</mn>
  </mrow>
</math>",81,o3-mini-2025-01-31,2026-01-03T22:32:49.900299+00:00,1298,3486,4784,,low,18.98,"[""Algebra and Trigonometry 2e-no-dups.brls:12216"", ""College Algebra 2e with Corequisite Support-no-dups.brls:4400"", ""Elementary Algebra 2e-no-dups.brls:13886"", ""College Algebra 2e with Corequisite Support-no-dups.brls:5768"", ""Intermediate Algebra 2e-no-dups.brls:8047"", ""Elementary Algebra-no-dups.brls:3277"", ""Elementary Algebra 2e-no-dups.brls:8702"", ""Algebra and Trigonometry 2e-no-dups.brls:2921"", ""Trigonometry-no-dups.brls:2397"", ""Trigonometry-no-dups.brls:1662""]",
14,Elementary Algebra 2e-no-dups.brls,7759,⠷⠴⠨⠴⠦⠾⠷⠢⠆⠨⠲⠢⠾,13,<math><mrow><mrow><mo>(</mo><mn>0.08</mn><mo>)</mo></mrow><mrow><mo>(</mo><mn>52.45</mn><mo>)</mo></mrow></mrow></math>,"<math xmlns=""http://www.w3.org/1998/Math/MathML"">
  <mrow>
    <mo>(</mo>
    <mn>0</mn>
    <mo>,</mo>
    <mn>7</mn>
    <mo>)</mo>
    <mo>(</mo>
    <mn>52</mn>
    <mo>,</mo>
    <mn>45</mn>
    <mo>)</mo>
  </mrow>
</math>",119,o3-mini-2025-01-31,2026-01-03T22:32:45.496844+00:00,1037,2615,3652,,low,14.57,"[""Elementary Algebra 2e-no-dups.brls:8516"", ""Contemporary Mathematics-no-dups.brls:6386"", ""PreCalculus 2e-no-dups.brls:11984"", ""PreAlgebra 2e-no-dups.brls:8203"", ""Elementary Algebra 2e-no-dups.brls:1598"", ""Intermediate Algebra_50_ Functions and Graphs-no-dups.brls:2277"", ""Intermediate Algebra 2e-no-dups.brls:8011"", ""Intermediate Algebra 2e-no-dups.brls:15294"", ""Algebra and Trigonometry 2e-no-dups.brls:13157"", ""Intermediate Algebra 2e-no-dups.brls:8228""]",
15,Elementary Algebra-no-dups.brls,3228,⠠⠕⠏⠞⠊⠕⠝⠁⠇⠀⠠⠑⠭⠞⠑⠝⠎⠊⠕⠝⠒⠀⠠⠞⠓⠑⠀⠠⠃⠕⠭⠀⠠⠍⠑⠞⠓⠕⠙,39,"<math xmlns=""http://www.w3.org/1998/Math/MathML""><mstyle mathcolor=""blue""><mrow data-mjx-texclass=""ORD""><mtext>Optional Extension: The Box Method</mtext></mrow></mstyle></math>","<math xmlns=""http://www.w3.org/1998/Math/MathML""><mrow><mtext>OPERATIONAL EXTENSION: THE BOX METHOD</mtext></mrow></math>",176,o3-mini-2025-01-31,2026-01-03T22:32:37.596836+00:00,1351,888,2239,,low,6.66,"[""PreCalculus 2e-no-dups.brls:13489"", ""PreAlgebra 2e-no-dups.brls:10539"", ""Intermediate Algebra 2e-no-dups.brls:1014"", ""Modeling, Functions, and Graphs-no-dups.brls:10267"", ""Algebra and Trigonometry 2e-no-dups.brls:12644"", ""Modeling, Functions, and Graphs-no-dups.brls:429"", ""Contemporary Mathematics-no-dups.brls:530"", ""College Algebra 2e with Corequisite Support-no-dups.brls:5509"", ""Contemporary Mathematics-no-dups.brls:3834"", ""Intermediate Algebra_50_ Functions and Graphs-no-dups.brls:614""]",
16,Active Prelude to Calculus-no-dups.brls,542,⠼⠆⠢⠲⠨⠲⠶,7,<math><mn>254.47</mn></math>,"<math xmlns=""http://www.w3.org/1998/Math/MathML""><mrow><mn>26</mn><mo>=</mo><mn>47</mn></mrow></math>",28,o3-mini-2025-01-31,2026-01-03T22:32:51.259397+00:00,1122,3065,4187,,low,20.32,"[""Intermediate Algebra 2e-no-dups.brls:15555"", ""Intermediate Algebra 2e-no-dups.brls:15120"", ""PreAlgebra 2e-no-dups.brls:10037"", ""PreCalculus 2e-no-dups.brls:6097"", ""College Algebra 2e with Corequisite Support-no-dups.brls:9471"", ""PreCalculus 2e-no-dups.brls:7510"", ""Algebra and Trigonometry 2e-no-dups.brls:11595"", ""Elementary Algebra 2e-no-dups.brls:13566"", ""Modeling, Functions, and Graphs-no-dups.brls:1346"", ""Intermediate Algebra 2e-no-dups.brls:717""]",
17,Active Prelude to Calculus-no-dups.brls,181,⠷⠎⠨⠡⠛⠾⠷⠂⠨⠢⠾,11,"<math><mrow><mo stretchy=""false"">(</mo><mi>s</mi><mo>∘</mo><mi>g</mi><mo stretchy=""false"">)</mo><mo stretchy=""false"">(</mo><mn>1.5</mn><mo stretchy=""false"">)</mo></mrow></math>","<math xmlns=""http://www.w3.org/1998/Math/MathML""><mrow><mo stretchy=""false"">(</mo><mi>s</mi><mi>ϕ</mi><mi>g</mi><mo stretchy=""false"">)</mo><mo stretchy=""false"">(</mo><mn>1</mn><mi>χ</mi><mo stretchy=""false"">)</mo></mrow></math>",176,o3-mini-2025-01-31,2026-01-03T22:32:43.843730+00:00,1303,1894,3197,,low,12.9,"[""PreCalculus 2e-no-dups.brls:7508"", ""Elementary Algebra 2e-no-dups.brls:10910"", ""PreAlgebra 2e-no-dups.brls:643"", ""College Algebra 2e with Corequisite Support-no-dups.brls:4397"", ""Algebra Toolkit-no-dups.brls:301"", ""College Algebra 2e with Corequisite Support-no-dups.brls:6082"", ""PreCalculus 2e-no-dups.brls:14033"", ""PreCalculus 2e-no-dups.brls:12321"", ""Intermediate Algebra_50_ Functions and Graphs-no-dups.brls:77"", ""Elementary Algebra 2e-no-dups.brls:9358""]",
18,Algebra and Trigonometry 2e-no-dups.brls,8993,⠷⠁⠠⠀⠃⠈⠾,7,"<math><mrow><mo>(</mo><mrow><mi>a</mi><mo>,</mo><mi>b</mi></mrow><mo>]</mo></mrow></math>","<math xmlns=""http://www.w3.org/1998/Math/MathML""><mo stretchy=""false"">(</mo><mi>a</mi><mo>,</mo><mi>b</mi><mo stretchy=""false"">)</mo><mtext>.</mtext></math>",89,o3-mini-2025-01-31,2026-01-03T22:32:38.734356+00:00,1236,1095,2331,,low,7.79,"[""Modeling, Functions, and Graphs-no-dups.brls:6513"", ""PreCalculus 2e-no-dups.brls:3526"", ""Intermediate Algebra_50_ Functions and Graphs-no-dups.brls:3982"", ""Algebra and Trigonometry 2e-no-dups.brls:12691"", ""Modeling, Functions, and Graphs-no-dups.brls:14994"", ""Modeling, Functions, and Graphs-no-dups.brls:3044"", ""PreAlgebra 2e-no-dups.brls:6424"", ""Algebra and Trigonometry 2e-no-dups.brls:1966"", ""PreAlgebra 2e-no-dups.brls:6632"", ""Elementary Algebra 2e-no-dups.brls:3961""]",
19,PreAlgebra 2e-no-dups.brls,3436,⠗⠤⠂⠨⠆⠢⠀⠨⠅⠀⠤⠼⠆⠨⠶,15,<math><mrow><mi>r</mi><mo>−</mo><mn>1.25</mn><mo>=</mo><mn>−2.7</mn></mrow></math>,"<math xmlns=""http://www.w3.org/1998/Math/MathML"">
  <mrow>
    <mi>r</mi>
    <mo>−</mo>
    <mn>2.65</mn>
    <mo>=</mo>
    <mo>−</mo>
    <mn>2.6</mn>
  </mrow>
</math>",82,o3-mini-2025-01-31,2026-01-03T22:32:48.469257+00:00,1023,2979,4002,,low,17.52,"[""Algebra and Trigonometry 2e-no-dups.brls:5932"", ""Algebra and Trigonometry 2e-no-dups.brls:7314"", ""Introductory Statistics 2e-no-dups.brls:945"", ""PreCalculus 2e-no-dups.brls:3095"", ""Algebra and Trigonometry 2e-no-dups.brls:4037"", ""PreCalculus 2e-no-dups.brls:12742"", ""Algebra and Trigonometry 2e-no-dups.brls:15323"", ""Math in Society__58__ Mathematics for liberal arts majors-no-dups.brls:120"", ""Intermediate Algebra 2e-no-dups.brls:4213"", ""PreCalculus 2e-no-dups.brls:774""]",
20,PreAlgebra 2e-no-dups.brls,5455,⠼⠖⠴⠈⠴,5,<math><mtext>60%</mtext></math>,"<math xmlns=""http://www.w3.org/1998/Math/MathML""><mn>64.4</mn></math>",31,o3-mini-2025-01-31,2026-01-03T22:32:36.486153+00:00,1389,938,2327,,low,5.53,"[""Elementary Algebra 2e-no-dups.brls:1060"", ""College Algebra 2e with Corequisite Support-no-dups.brls:6909"", ""PreAlgebra 2e-no-dups.brls:10265"", ""PreCalculus 2e-no-dups.brls:11682"", ""Elementary Algebra 2e-no-dups.brls:10576"", ""Elementary Algebra-no-dups.brls:3510"", ""PreAlgebra 2e-no-dups.brls:2512"", ""PreCalculus 2e-no-dups.brls:14021"", ""Introductory Statistics 2e-no-dups.brls:576"", ""Intermediate Algebra 2e-no-dups.brls:9538""]",
